1,"this is the story of nat banks , an 8th generation virginian gentleman farmer living in the past , who loses his family farm , greenwood , to a pair of land speculators from washington , d . c ."
1,"the film is an homage to power , strength and individualism ."
1,"needless to say , both carlos and mickey are burning to get out of the heights ."
1,"the quest takes him to the mountains of north carolina , the beaches of the dominican republic , the islands off of ireland , the gardens of japan and the holy land of india ."
1,"for the past seven years mel bishop , a cold-blooded old west outlaw , had rotted away in a filthy mexican prison ."
1,"after baptizing their amnesiac boy-toy chris , the infamous pair takes him on a grand tour of their wild nightlife frolic , their spontaneous media extravaganza and their dazzling diva lifestyle in order to help him find his identity and his way home ."
1,dr . evil and mini-me have somehow escaped from a maximum security prison and the duo team up with goldmember .
1,there are two distince paths in life good vs . evil .
1,"he is still famous , although still disliked by snape , malfoy , and the rest of the slytherins ."
1,but even greater dangers lie ahead when jim discovers that his trusted friend silver is actually a scheming pirate with mutiny on his mind .
1,"arrested and imprisoned in a juvenile detention facility , leland comes in contact with an aspiring writer and prison teacher , pearl madison ( cheadle ) ."
1,"rather than spreading good cheer , the duo's motive is to rob each establishment , a strategy that becomes complicated when they encounter an 8-year-old who teaches them the true meaning of christmas ."
1,"we find elvis ( bruce campbell ) as an elderly resident in an east texas rest home , who switched identities with an elvis impersonator years before his "" death "" , then missed his chance to switch back ."
1,the two are catapulted into the chase of their lifetimes in pursuit of the kidnapped professor and the lost temple .
1,"one sunday , while all the town , including his wife and son , are piously praying mass , a miracle occurs ."
1,"a mafia don ( om puri ) dies and leaves behind such a will which starts an unending war between guru gulab khatri ( akshay kumar ) , don's son-in law and vikrant ( rahul dev ) , don's only son ."
0,the corpse count ultimately overrides what little we learn along the way about vicarious redemption .
0,the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .
0,"the question hanging over the time machine is not , as the main character suggests , 'what if ? ' but rather , 'how can you charge money for this ? '"
0,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
0,photographed with melancholy richness and eloquently performed yet also decidedly uncinematic .
0,"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis ."
0," "" one look at a girl in tight pants and big tits and you turn stupid ? "" um . . isn't that the basis for the entire plot ?"
0,"parker probably thinks he's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half-hearted messing-about just makes us miss wilde's still-contemporary play ."
0,"almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited . and in a sense , that's a liability ."
0,"been there , done that , liked it much better the first time around - when it was called the professional ."
0,too bad maggio couldn't come up with a better script .
0,a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact .
0,a polished and vastly entertaining caper film that puts the sting back into the con .
0,"the characters , cast in impossibly contrived situations , are totally estranged from reality ."
0,you'll have more fun setting fire to yourself in the parking lot . you'll be more entertained getting hit by a bus .
0,a film that will probably please people already fascinated by behan but leave everyone else yawning with admiration .
