r-67	1		Reports which the government prescribes the height of the lettering on the covers of are invariably boring.
r-67	1		The reporters expected that the principal would fire some teacher.
ks08	1		These lines were written by one of Korea's most famous poets.
l-93	1		Herman mixed the eggs and the cream together.
ks08	1		Chris must liking syntax.
bc01	1		John wants to go on vacation, but he doesn't know when to.
sks13	1		I will eat spaghetti on Sunday with Marco.
ad03	1		Whether Agamemnon had triumphed was unknown.
r-67	1		He figured something out.
l-93	1		Susan whispered a few words.
l-93	1		The hanging gardens are a sight to behold.
bc01	1		John's refusing the offer is shocking.
cj99	1		The harder it rains, how much faster a flow do you see in the river?
ad03	1		Poseidon had run away, before the executioner murdered Hera.
ad03	1		Which ode did which poet write?
c_13	1		Frank has drunk too much.
ad03	0	*	Jason arrived by Medea.
ad03	0	*	We all thought him was unhappy
r-67	0	??	The dumplings which Sasha is gobbling down faster than I can reheat are extremely tasty, if I do say so.
sks13	0	*	They heard John's criticism of each other.
c_13	0	*	Briana showed himself Justin.
ad03	0	*	Frantically at, Anson danced extremely Trade
c_13	0	*	the book with a red cover of poems from Blackwell by Robert Burns takes a very long time to read.
bc01	0	*	The ship's sinking to collect the insurance was very devious.
m_02	0	*	Because into the room came Aunt Norris, Fanny stopped talking.
c_13	0	*	Has Calvin a bowl?
bc01	0	??	What do you remember where we bought?
c_13	0	*	John and very blue went to the store.
kl93	0	*	I have any potatoes.
c_13	0	*	The sing loved peanut butter cookies.
r-67	0	*	She did with her father away.
d_98	0	*	Susan found any book she had been looking for at Borders.
